TIME X Y LIR CIR RIR 
1551212948897820949 0.0 0.0 2.34145745363 2.41048844619 0.274971218133
1551212949010042905 0.0 0.0 4.36700954981 4.05483957479 0.302039889102
1551212949121382951 0.0 0.0 2.02111624939 3.96015751006 0.307280022949
1551212949217989921 0.0 0.0 4.36700954981 6.75277446664 0.300756708487
1551212949314274072 0.0 0.0 4.36700954981 4.05483957479 0.298851550105
1551212949410492897 0.0 0.0 2.68637970687 4.60216979936 0.305953612446
1551212949522171020 0.0 0.0 2.60153724374 2.21425689487 0.283267541402
1551212949617674112 0.0 0.0 3.86965218811 3.62063190549 0.301396980676
1551212949714452028 0.0 0.0 2.82413880433 3.96015751006 0.300119056548
1551212949810781002 0.0 0.0 2.64330158218 2.09975285054 0.284410338424
1551212949922559022 0.0 0.0 2.30835456261 4.15399052495 0.301396980676
1551212950018678903 0.0 0.0 1.26484298017 2.44649704286 0.30661543324
1551212950114413022 0.0 0.0 1.77581415933 1.92471500102 0.263618811586
1551212950210943937 0.0 0.0 7.0220041589 5.48071593229 0.300119056548
1551212950322504997 0.0 0.0 2.44649704286 4.72914550277 0.303333679267
1551212950419045925 0.0 0.0 3.62063190549 3.62063190549 0.314778281327
1551212950515242099 0.0 0.0 5.659455422 3.96015751006 0.305953612446
1551212950611310005 0.0 0.0 3.14493489255 3.86965218811 0.295110293205
1551212950722841978 0.0 0.0 1.63079222532 2.24478851094 0.275509677585
1551212950819423913 0.0 0.0 4.48161435789 3.96015751006 0.302685449883
1551212950915602922 0.0 0.0 1.70032387116 2.1272926399 0.280448962048
1551212951011756896 0.0 0.0 1.6476550321 2.18451681915 0.282699460637
1551212951123203992 0.0 0.0 2.92379928918 7.0220041589 0.302039889102
1551212951219620943 0.0 0.0 3.14493489255 3.62063190549 0.301396980676
1551212951315841913 0.0 0.0 1.97177908768 4.60216979936 0.303984593633
1551212951411861896 0.0 0.0 4.36700954981 3.70012454724 0.302039889102
1551212951523735046 0.0 0.0 2.34145745363 2.44649704286 0.277684020595
1551212951620085000 0.0 0.0 1.58214612417 2.21425689487 0.282699460637
1551212951716262102 0.0 0.0 6.75277446664 3.96015751006 0.30661543324
1551212951812478065 0.0 0.0 1.68241039942 2.09975285054 0.282133574816
1551212951924202919 0.0 0.0 16.7902548969 2.77673002772 0.338743961111
1551212952020364999 0.0 0.0 11.5463452244 13.2092763265 0.321907798865
1551212952115952968 0.0 0.0 8.75130352542 4.72914550277 0.301396980676
1551212952212280988 0.0 0.0 2.56102817451 4.86306150684 0.303333679267
1551212952324148893 0.0 0.0 4.48161435789 12.3238994837 0.341172231838
1551212952420734882 0.0 0.0 2.82413880433 3.54437112247 0.302039889102
1551212952516855001 0.0 0.0 3.96015751006 4.60216979936 0.297594335988
1551212952613584995 0.0 0.0 4.60216979936 4.05483957479 0.28556206817
1551212952724663972 0.0 0.0 4.36700954981 3.86965218811 0.304638209497
1551212952821146011 0.0 0.0 2.0466886618 2.1272926399 0.28614131521
1551212952917205095 0.0 0.0 3.62063190549 3.96015751006 0.300756708487
1551212953013426065 0.0 0.0 3.96015751006 3.54437112247 0.30661543324
1551212953124716043 0.0 0.0 2.1272926399 2.18451681915 0.277137335964
1551212953221235990 0.0 0.0 1.6476550321 2.60153724374 0.292060977495
1551212953316809892 0.0 0.0 3.47115122301 3.96015751006 0.294495524802
1551212953413271903 0.0 0.0 3.96015751006 4.05483957479 0.302039889102
1551212953524909019 0.0 0.0 3.54437112247 3.86965218811 0.303333679267
1551212953621093034 0.0 0.0 2.56102817451 2.56102817451 0.275509677585
1551212953717097043 0.0 0.0 4.36700954981 4.25793021249 0.301396980676
1551212953813693046 0.0 0.0 3.47115122301 4.15399052495 0.318304514789
1551212953926558971 0.0 0.0 6.75277446664 4.05483957479 0.309966417114
1551212954022485017 0.0 0.0 4.60216979936 4.05483957479 0.302039889102
1551212954118071079 0.0 0.0 2.21425689487 4.60216979936 0.299484008998
1551212954214374065 0.0 0.0 1.92471500102 3.62063190549 0.278783657818
1551212954326534986 0.0 0.0 3.62063190549 3.96015751006 0.30661543324
1551212954422561883 0.0 0.0 3.96015751006 3.96015751006 0.302685449883
1551212954519099950 0.0 0.0 1.35206902913 1.43848047344 0.259231508156
1551212954630157947 0.0 0.0 8.34295123467 4.15399052495 0.30661543324
1551212954726625919 0.0 0.0 7.31275089645 4.05483957479 0.307280022949
1551212954822848081 0.0 0.0 4.05483957479 3.86965218811 0.31064511229
1551212954919251918 0.0 0.0 2.34145745363 3.62063190549 0.298851550105
1551212955015029907 0.0 0.0 2.64330158218 2.37548903502 0.291458399877
1551212955127051115 0.0 0.0 8.75130352542 12.3238994837 0.333205728911
1551212955223350048 0.0 0.0 2.60153724374 2.15553824859 0.283837829752
1551212955319019079 0.0 0.0 2.1272926399 2.27614329285 0.278783657818
1551212955415891885 0.0 0.0 2.60153724374 4.60216979936 0.316884912956
1551212955527261018 0.0 0.0 2.24478851094 2.24478851094 0.279891731503
1551212955623142957 0.0 0.0 4.36700954981 4.60216979936 0.304638209497
1551212955720120906 0.0 0.0 2.24478851094 4.05483957479 0.307280022949
1551212955815839052 0.0 0.0 5.15408931906 4.05483957479 0.305294543506
1551212955927706956 0.0 0.0 3.54437112247 3.96015751006 0.301396980676
1551212956023602962 0.0 0.0 2.5217192621 3.96015751006 0.301396980676
1551212956119774103 0.0 0.0 1.70032387116 2.1272926399 0.289664981596
1551212956216546058 0.0 0.0 2.77673002772 5.00449518166 0.302039889102
1551212956327721118 0.0 0.0 3.33314216077 4.15399052495 0.300756708487
1551212956424690961 0.0 0.0 2.73083380551 4.05483957479 0.302039889102
1551212956520287990 0.0 0.0 2.60153724374 2.41048844619 0.28614131521
1551212956616664886 0.0 0.0 4.05483957479 4.05483957479 0.298221664263
1551212956728199958 0.0 0.0 7.0220041589 5.659455422 0.301396980676
1551212956824812889 0.0 0.0 2.82413880433 4.48161435789 0.307947398774
1551212956920942068 0.0 0.0 2.68637970687 2.07289305411 0.307947398774
1551212957017489910 0.0 0.0 3.7830562483 4.15399052495 0.313388817371
1551212957128392934 0.0 0.0 16.7902548969 3.86965218811 0.312011143577
1551212957224493026 0.0 0.0 2.92379928918 2.44649704286 0.278783657818
1551212957321472883 0.0 0.0 2.48355855562 3.47115122301 0.302685449883
1551212957417628049 0.0 0.0 2.64330158218 2.21425689487 0.282133574816
1551212957529537916 0.0 0.0 2.92379928918 2.41048844619 0.282699460637
1551212957625252008 0.0 0.0 1.5980470723 2.21425689487 0.260194236759
1551212957721066951 0.0 0.0 2.1272926399 3.96015751006 0.284410338424
1551212957817441940 0.0 0.0 4.36700954981 4.72914550277 0.307280022949
1551212957929238080 0.0 0.0 2.68637970687 3.96015751006 0.305953612446
1551212958025733947 0.0 0.0 5.84979843713 4.60216979936 0.30661543324
1551212958121489048 0.0 0.0 5.31256162863 4.72914550277 0.309290578297
1551212958217345952 0.0 0.0 3.26803905233 2.41048844619 0.315477481438
1551212958329695940 0.0 0.0 4.48161435789 3.96015751006 0.301396980676
1551212958425704002 0.0 0.0 3.70012454724 2.30835456261 0.282699460637
1551212958522619009 0.0 0.0 3.54437112247 12.3238994837 0.305294543506
1551212958618379116 0.0 0.0 5.48071593229 4.05483957479 0.308617578062
1551212958730958938 0.0 0.0 3.14493489255 4.05483957479 0.30661543324
1551212958826283931 0.0 0.0 3.7830562483 3.96015751006 0.314082066254
1551212958922661066 0.0 0.0 1.97177908768 2.44649704286 0.305953612446
1551212959018847942 0.0 0.0 3.86965218811 4.48161435789 0.301396980676
1551212959130532979 0.0 0.0 1.49280958057 2.09975285054 0.291458399877
1551212959226695060 0.0 0.0 3.33314216077 3.70012454724 0.307280022949
1551212959323196887 0.0 0.0 3.03047856341 4.15399052495 0.300119056548
1551212959419011116 0.0 0.0 3.86965218811 4.48161435789 0.302039889102
1551212959531327962 0.0 0.0 3.86965218811 4.60216979936 0.307280022949
1551212959626949071 0.0 0.0 3.54437112247 3.96015751006 0.303333679267
1551212959723413944 0.0 0.0 7.0220041589 4.05483957479 0.30661543324
